lon;lat
10.309237;-84.156112
10.354403;-84.155706
10.399569;-84.155298
10.444734;-84.154887
10.489900;-84.154475
10.535065;-84.154061
10.580230;-84.153646
10.625395;-84.153228
10.670560;-84.152808
10.715725;-84.152387
10.760890;-84.151964
10.806054;-84.151538
10.851218;-84.151111
10.896383;-84.150682
10.941547;-84.150251
10.986710;-84.149819
11.031874;-84.149384
10.083010;-84.112540
10.128175;-84.112136
10.173339;-84.111731
10.218504;-84.111324
10.263668;-84.110915
10.308832;-84.110504
10.353996;-84.110091
10.399160;-84.109676
10.444324;-84.109259
10.489488;-84.108841
10.534651;-84.108420
10.579815;-84.107998
10.624978;-84.107573
10.670141;-84.107147
10.715304;-84.106719
10.760467;-84.106289
10.805629;-84.105857
10.850792;-84.105423
10.895954;-84.104987
10.941116;-84.104549
10.986278;-84.104109
11.031440;-84.103668
10.082608;-84.066965
10.127771;-84.066555
10.172934;-84.066144
10.218096;-84.065730
10.263259;-84.065314
10.308421;-84.064897
10.353583;-84.064478
10.398746;-84.064056
10.443907;-84.063633
10.489069;-84.063208
10.534231;-84.062781
10.579393;-84.062351
10.624554;-84.061920
10.669715;-84.061487
10.714876;-84.061053
10.760037;-84.060616
10.805198;-84.060177
10.850359;-84.059736
10.895519;-84.059293
10.940679;-84.058849
10.985840;-84.058402
11.031000;-84.057954
10.082200;-84.021392
10.127361;-84.020976
10.172522;-84.020558
10.217682;-84.020138
10.262843;-84.019716
10.308004;-84.019292
10.353164;-84.018866
10.398324;-84.018438
10.443484;-84.018009
10.488644;-84.017577
10.533804;-84.017143
10.578964;-84.016707
10.624123;-84.016270
10.669283;-84.015830
10.714442;-84.015388
10.759601;-84.014945
10.804760;-84.014499
10.849919;-84.014051
10.895077;-84.013602
10.940236;-84.013150
10.985394;-84.012697
11.030552;-84.012241
10.081785;-83.975821
10.126944;-83.975399
10.172103;-83.974975
10.217262;-83.974548
10.262421;-83.974120
10.307580;-83.973689
10.352738;-83.973257
10.397896;-83.972823
10.443055;-83.972386
10.488213;-83.971948
10.533371;-83.971507
10.578528;-83.971065
10.623686;-83.970621
10.668843;-83.970174
10.714001;-83.969726
10.759158;-83.969276
10.804315;-83.968823
10.849472;-83.968369
10.894629;-83.967912
